OBJECTID_1	OBJECTID	Speed (km/h)	Direction of travel 	Compass reading 	Position source type	Receiver Name	Horizontal Accuracy (m)	Vertical Accuracy (m)	Latitude	Longitude	Altitude	PDOP	HDOP	VDOP	Fix Type	Correction Age	Station ID	Number of Satellites	Fix Time	Average Horizontal Accuracy (m)	Average Vertical Accuracy (m)	Averaged Positions	Standard Deviation (m)	GlobalID	CreationDate	Creator	EditDate	Editor	Linie	Typ	Anmerkung	x	y
1	4			81,17	2	AppStudio-CoreLocation	35	16,10790443	51,95783335	7,634603556	63,123806								10/4/2021 1:13:48 PM					d55c78e2-e3bb-4f0e-8da7-902bfaece0e8	10/4/2021 1:14:34 PM	s.schuette_ct	10/4/2021 1:14:34 PM	s.schuette_ct		5	S50	7,634603556	51,95783335
2	5			81,23	2	AppStudio-CoreLocation	35	16,10790443	51,95783335	7,634603556	63,123806								10/4/2021 1:13:18 PM					c99ff66d-3e7d-490e-a274-ac34e23e72b5	10/4/2021 1:14:34 PM	s.schuette_ct	10/4/2021 1:14:34 PM	s.schuette_ct		1	S50	7,634603556	51,95783335
3	6	5,401807697	351,9806035	350,49	2	AppStudio-CoreLocation	4,765247531	3,334209502	51,95943549	7,634983183	61,75566697								10/4/2021 1:36:08 PM					c411ca26-6bf1-46ae-b9b8-85b9cdc26c6c	10/4/2021 1:36:22 PM	s.schuette_ct	10/4/2021 1:36:22 PM	s.schuette_ct		7	S50	7,634983183	51,95943549
4	7	3,469427379	4,931605919	0,83	2	AppStudio-CoreLocation	4,768987665	3,328857715	51,95930106	7,634883457	62,01772215								10/4/2021 1:35:52 PM					7e40cc89-2815-4fa1-976a-89295599a6fa	10/4/2021 1:36:22 PM	s.schuette_ct	10/4/2021 1:36:22 PM	s.schuette_ct		6	S50	7,634883457	51,95930106
5	8	4,927639521	23,78800813	21,87	2	AppStudio-CoreLocation	4,755189983	3,348537779	51,95961956	7,635079863	61,15406899								10/4/2021 1:36:24 PM					a05183fd-5fdb-46e7-8657-87b780aba381	10/4/2021 1:36:54 PM	s.schuette_ct	10/4/2021 1:36:54 PM	s.schuette_ct		6	S50	7,635079863	51,95961956
6	9	0	27,84555593	251,56	2	AppStudio-CoreLocation	4,74753064	3,359388315	51,96041218	7,635132858	59,65527222								10/4/2021 1:41:40 PM					ffc1f561-73b4-4886-98cc-12f0aa6303cf	10/4/2021 1:41:57 PM	s.schuette_ct	10/4/2021 1:41:57 PM	s.schuette_ct		7	S50	7,635132858	51,96041218
7	10	5,048954381	2,410779673	359,03	2	AppStudio-CoreLocation	4,737563847	3,373429386	51,96031975	7,635127019	57,55536145								10/4/2021 1:41:28 PM					691ce602-d832-431d-8513-861a8b2951cc	10/4/2021 1:41:57 PM	s.schuette_ct	10/4/2021 1:41:57 PM	s.schuette_ct		6	S50	7,635127019	51,96031975
8	11	0	42,74419126	340,37	2	AppStudio-CoreLocation	4,758094303	3,34440961	51,9609237	7,635041541	60,36177362								10/4/2021 1:43:59 PM					3a3f0901-072f-48d3-9776-7a714eda6244	10/4/2021 1:44:45 PM	s.schuette_ct	10/4/2021 1:44:45 PM	s.schuette_ct		3	S50	7,635041541	51,9609237
9	12	4,147530725	282,3278216	273,91	2	AppStudio-CoreLocation	4,755610287	3,347940835	51,96192185	7,63499039	58,98967887								10/4/2021 1:49:05 PM					5c4ff717-26cf-4d1b-9736-89992dca7e09	10/4/2021 1:49:49 PM	s.schuette_ct	10/4/2021 1:49:49 PM	s.schuette_ct		6	S50	7,63499039	51,96192185
10	13	3,056251039	359,5351242	236,83	2	AppStudio-CoreLocation	4,75201097	3,353047684	51,96293616	7,631689126	56,78435163								10/4/2021 1:52:25 PM					0ead9876-387a-4a24-acc6-da2eb1780e03	10/4/2021 1:53:13 PM	s.schuette_ct	10/4/2021 1:53:13 PM	s.schuette_ct		6	S50	7,631689126	51,96293616
