OBJECTID,osm_id,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel,ZuschlagPr,Shape_Length
1,4064461,5113,primary, ,B 51,F,50,0,F,F,0,0,000289305
2,4064462,5114,secondary,Moltkestraße,K 6,B,30,0,F,F,0,0,000723338
3,4064463,5114,secondary,Ludgeriplatz, ,B,50,0,F,F,0,0,000868692
4,4064467,5122,residential,Engelstraße, ,F,30,0,F,F,0,0,000902742
5,4064474,5114,secondary,Weseler Straße,K 6,B,50,0,F,F,0,0,000346208
6,4064476,5114,secondary,Weseler Straße,K 2,F,50,0,F,F,0,0,001057345
7,4064482,5115,tertiary,Adenauerallee, ,B,50,0,F,F,0,0,002418196
8,4064485,5141,service,Servatiikirchplatz, ,B,0,0,F,F,0,0,000959142
9,4237502,5111,motorway, ,A 43,F,0,0,F,F,0,0,002693879
10,4237503,5131,motorway_link, ,A 43,F,0,0,F,F,0,0,00179782
11,4237505,5131,motorway_link, , ,F,0,0,F,F,0,0,002079175
12,4592974,5113,primary, ,B 54,F,50,0,F,F,0,9,85345E-05
13,4592975,5114,secondary,Hammer Straße,K 6,B,50,0,F,F,0,0,001945292
14,4592976,5122,residential,Josefstraße, ,F,30,0,F,F,0,0,002696866
15,4829552,5114,secondary,Warendorfer Straße,L 843,B,50,0,F,F,0,0,00408516
16,4829554,5114,secondary,Schifffahrter Damm,L 587,F,50,0,F,F,0,0,000307054
17,4829555,5114,secondary,Schifffahrter Damm,L 587,B,50,1,F,F,0,0,002945212
18,4829556,5114,secondary,Schifffahrter Damm,L 587,B,50,0,F,F,0,0,003369222
19,4829557,5114,secondary,Schifffahrter Damm,L 587,B,50,0,F,F,0,0,001173014
20,4829558,5114,secondary,Schifffahrter Damm,L 587,B,50,1,T,F,0,0,001406964
21,4829559,5114,secondary,Schifffahrter Damm,L 587,B,70,0,F,F,0,0,000956464
22,4829560,5114,secondary,Schifffahrter Damm,L 587,B,70,0,F,F,0,0,000702747
23,4829905,5115,tertiary,Sudmühlenstraße,K 7,B,50,0,F,F,0,0,007972469
24,4829906,5115,tertiary,Sudmühlenstraße,K 7,B,50,0,F,F,0,0,001128141
25,4829908,5122,residential,Dyckburgstraße, ,B,30,0,F,F,0,0,000460562
26,4829909,5141,service,Dyckburgstraße, ,B,50,0,F,F,0,0,0065456
27,4829910,5121,unclassified,Dyckburgstraße, ,B,30,0,F,F,0,0,001006189
28,4829911,5121,unclassified,Havichhorster Mühle, ,B,30,0,F,F,0,0,003253008
29,4829912,5113,primary,Schifffahrter Damm,B 481,B,70,0,F,F,0,0,001380499
31,4829923,5115,tertiary,Hessenweg, ,F,0,0,F,F,0,9,4146E-05
32,4829925,5115,tertiary,Königsberger Straße,K 7,B,50,0,F,F,0,0,003891891
33,4863784,5122,residential,Hacklenburg, ,B,30,0,F,F,0,0,000110258
