OID_	osm_id	code	fclass	name	ref	oneway	maxspeed	layer	bridge	tunnel	ZuschlagPr	Shape_Length
1	4064485	5141	service	Servatiikirchplatz	 	B	0	0	F	F	0	0,000959142
2	4985982	5122	residential	Neubrückenstraße	 	F	30	0	F	F	0	0,001832687
3	4985985	5141	service	Neubrückenstraße	 	B	0	0	F	F	0	0,000698461
4	5029732	5114	secondary	Bergstraße	K 4	B	30	0	F	F	0	0,000614243
5	5029733	5114	secondary	An der Apostelkirche	K 4	B	30	0	F	F	0	0,000755845
6	5029735	5114	secondary	Mauritztor	K 4	F	30	0	F	F	0	0,000630146
7	5029804	5114	secondary	Warendorfer Straße	K 4	B	50	0	F	F	0	0,001568525
8	5029805	5114	secondary	Warendorfer Straße	K 4	B	50	0	F	F	0	0,00093364
9	5148219	5115	tertiary	Gartenstraße	K 8	F	50	0	F	F	0	0,000405207
10	5186797	5122	residential	Stiftsherrenstraße	 	F	0	0	F	F	0	0,001436345
11	5186799	5122	residential	Hörsterstraße	 	F	30	0	F	F	0	0,000721194
12	5186800	5122	residential	Korduanenstraße	 	B	0	0	F	F	0	0,002367249
13	5186802	5122	residential	Wevelinghofergasse	 	F	0	0	F	F	0	0,002185392
14	5186803	5122	residential	Sonnenstraße	 	F	0	0	F	F	0	8,12664E-05
15	5188192	5122	residential	Sonnenstraße	 	F	0	0	F	F	0	0,000986186
16	5188590	5121	unclassified	Windthorststraße	 	F	0	0	F	F	0	0,000123215
17	5189965	5114	secondary	Freiherr-vom-Stein-Platz	K 4	F	50	0	F	F	0	0,00029515
18	5189967	5114	secondary	Mauritztor	K 4	F	30	0	F	F	0	0,000299915
20	5293584	5121	unclassified	Salzstraße	 	B	30	0	F	F	0	0,00057599
21	5293592	5122	residential	Klosterstraße	 	F	30	0	F	F	0	0,003527856
23	5293610	5122	residential	Winkelstraße	 	F	30	0	F	F	0	0,001815813
25	5608044	5122	residential	Windthorststraße	 	B	50	0	F	F	0	8,71251E-05
26	5707678	5122	residential	Prinzipalmarkt	 	F	0	0	F	F	0	0,00064295
27	5707685	5122	residential	Rothenburg	 	B	30	0	F	F	0	0,000456994
28	5707687	5122	residential	Bogenstraße	 	F	0	0	F	F	0	0,001124301
29	5707690	5122	residential	Spiekerhof	 	F	0	0	F	F	0	0,001154926
30	5707696	5122	residential	Klosterstraße	 	B	30	0	F	F	0	0,002258185
31	5707704	5122	residential	Drubbel	 	F	0	0	F	F	0	0,000172601
32	5707706	5122	residential	Rothenburg	 	F	0	0	F	F	0	0,00018764
33	5707707	5114	secondary	Von-Vincke-Straße	K 8	F	50	0	F	F	0	0,001867729
34	5707710	5122	residential	Ludgeristraße	 	B	30	0	F	F	0	0,000457236
35	5707712	5122	residential	Alter Fischmarkt	 	F	0	0	F	F	0	0,00162173
36	5707714	5122	residential	Königsstraße	 	F	15	0	F	F	0	0,000693066
37	5736768	5122	residential	Sternstraße	 	B	30	0	F	F	0	0,000798497
38	5738599	5122	residential	Sternstraße	 	B	30	0	F	F	0	0,004275491
39	5883198	5122	residential	Michaelisplatz	 	B	0	0	F	F	0	0,001036252
40	5967584	5122	residential	Verspoel	 	F	30	0	F	F	0	0,001887119
41	5967602	5122	residential	Klemensstraße	 	F	15	0	F	F	0	0,001792678
42	5967607	5122	residential	Klemensstraße	 	F	0	0	F	F	0	0,000360911
43	5967634	5122	residential	Ludgeristraße	 	F	30	0	F	F	0	0,000826618
44	6006190	5115	tertiary	Bohlweg	 	B	0	0	F	F	0	0,001024984
45	6190068	5122	residential	Piusallee	 	B	0	0	F	F	0	0,001289606
46	6190089	5141	service	Ludgeriplatz	 	B	0	0	F	F	0	7,39605E-06
47	6190109	5122	residential	Am Kanonengraben	 	F	30	0	F	F	0	0,002684761
48	6190127	5141	service	Hals	 	B	0	0	F	F	0	0,000342857
49	6191697	5122	residential	Domplatz	 	B	30	0	F	F	0	0,001960706
50	6192886	5115	tertiary	Fürstenbergstraße	K 8	B	50	0	F	F	0	0,000360051
