OID_	osm_id	code	fclass	name	ref	oneway	maxspeed	layer	bridge	tunnel	ZuschlagPr	Shape_Length
1	4064485	5141	service	Servatiikirchplatz	 	B	0	0	F	F	0	0.000959142
2	4985982	5122	residential	Neubrückenstraße	 	F	30	0	F	F	0	0.001832687
3	4985985	5141	service	Neubrückenstraße	 	B	0	0	F	F	0	0.000698461
4	5029732	5114	secondary	Bergstraße	K 4	B	30	0	F	F	0	0.000614243
5	5029733	5114	secondary	An der Apostelkirche	K 4	B	30	0	F	F	0	0.000755845
6	5029735	5114	secondary	Mauritztor	K 4	F	30	0	F	F	0	0.000630146
7	5029804	5114	secondary	Warendorfer Straße	K 4	B	50	0	F	F	0	0.001568525
8	5029805	5114	secondary	Warendorfer Straße	K 4	B	50	0	F	F	0	0.00093364
9	5148219	5115	tertiary	Gartenstraße	K 8	F	50	0	F	F	0	0.000405207
10	5186797	5122	residential	Stiftsherrenstraße	 	F	0	0	F	F	0	0.001436345
11	5186799	5122	residential	Hörsterstraße	 	F	30	0	F	F	0	0.000721194
12	5186800	5122	residential	Korduanenstraße	 	B	0	0	F	F	0	0.002367249
13	5186802	5122	residential	Wevelinghofergasse	 	F	0	0	F	F	0	0.002185392
14	5186803	5122	residential	Sonnenstraße	 	F	0	0	F	F	0	8.12664E-05
15	5188192	5122	residential	Sonnenstraße	 	F	0	0	F	F	0	0.000986186
16	5188590	5121	unclassified	Windthorststraße	 	F	0	0	F	F	0	0.000123215
